Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2013 Volkswagen Passat 2.0 TDI SEL Premium,"$12,495",Kyner's Auto Sales Inc.,Automatic,Front-Wheel Drive,Diesel,4.8,710 reviews,"Chambersburg, PA (68 mi.)","79,670 mi."
2014 Volkswagen Passat 2.0L TDI DSG SEL Premium,"$10,990",I-Deal Cars LLC CampHill,Automatic,Front-Wheel Drive,Diesel,4.5,27 reviews,"Camp Hill, PA (70 mi.)","101,529 mi."
2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,"$10,990",I-Deal Cars LLC,Automatic,Front-Wheel Drive,Diesel,4,57 reviews,"Harrisburg, PA (75 mi.)","107,612 mi."
2013 Volkswagen Beetle 2.0L TDI,"$12,050",Easterns Automotive Group of Sterling- Curbside and Home Delivery Available,Automatic,Front-Wheel Drive,Diesel,4.9,"1,155 reviews","Sterling, VA (46 mi.)","94,273 mi."
2012 Volkswagen Jetta SportWagen TDI,"$12,911",Sheehy Volkswagen of Hagerstown,Automatic,Front-Wheel Drive,Diesel,0,2 reviews,"Hagerstown, MD (59 mi.)","85,508 mi."
2015 RAM ProMaster 1500 Low Roof,"$15,981",MemberCar,Automatic,Front-Wheel Drive,Diesel,4.9,612 reviews,"Rockville, MD (27 mi.)","121,244 mi."
2015 RAM ProMaster 2500 High Roof,"$17,995",Amko Auto Temple Hills,Automatic,Front-Wheel Drive,Diesel,3.5,53 reviews,"Temple Hills, MD (33 mi.)","68,864 mi."
2013 Volkswagen Jetta SportWagen TDI,"$8,994",Motorcars of Gaithersburg,Automatic,Front-Wheel Drive,Diesel,0,7 reviews,"Gaithersburg, MD (27 mi.)","117,430 mi."
2015 Volkswagen Jetta 2.0L TDI S,"$7,999",Q's Quality Cars LLC,Automatic,Front-Wheel Drive,Diesel,0,0 reviews,"Capitol Heights, MD (28 mi.)","127,212 mi."
2009 Volkswagen Jetta 2.0 TDI SportWagen,"$6,990",I-Deal Cars LLC,Automatic,Front-Wheel Drive,Diesel,4,57 reviews,"Harrisburg, PA (75 mi.)","196,696 mi."
2014 Volkswagen Jetta SportWagen TDI,"$11,900",Five Plus Autohaus LLC,Automatic,Front-Wheel Drive,Diesel,0,2 reviews,"Emigsville, PA (54 mi.)","77,000 mi."
2011 Volkswagen Jetta 2.0L TDI SEL,Not Priced,Faulkner Volkswagen,Automatic,Front-Wheel Drive,Diesel,4,313 reviews,"Mechanicsburg, PA (72 mi.)",0 mi.
2018 GMC Terrain SLT,"$15,317",Excel Auto Lounge,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Hightstown, NJ (134 mi.)","93,249 mi."
2012 Volkswagen Jetta TDI,"$8,995",Excel Auto Lounge,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Hightstown, NJ (134 mi.)","99,881 mi."
2014 Volkswagen Jetta SportWagen DSG TDI,"$8,495",CarNu Sales,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Warminster, PA (109 mi.)","184,252 mi."
2015 RAM ProMaster 3500 High Roof,"$16,500",N/A,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Ebensburg, PA (142 mi.)","146,100 mi."
2015 RAM ProMaster 3500 High Roof,"$20,970",Econo Auto Inc,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Spotsylvania, VA (89 mi.)","82,701 mi."
2015 Volkswagen Golf DSG TDI S,"$12,495",Highline Motor Cars,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Southampton, NJ (115 mi.)","93,750 mi."
2011 Audi A3 2.0 TDI Premium Plus,"$11,999",Car Trade,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Slatington, PA (120 mi.)","82,987 mi."
2013 Audi A3 2.0 TDI Premium,"$9,994",CarPoint Auto Group,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"South River, NJ (148 mi.)","79,302 mi."
2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,"$9,995",Park Avenue Autos,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Collingswood, NJ (97 mi.)","132,000 mi."
2015 Volkswagen Passat 2.0L TDI DSG SEL Premium,"$10,995",1NCE DRIVEN,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Easton, PA (123 mi.)","95,709 mi."
2020 Ford F-150 XL,"$24,987",Al Packer Ford,Automatic,Front-Wheel Drive,Diesel,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","118,688 mi."
2013 Volkswagen Passat 2.0 TDI SE w/ Sunroof,"$7,250",Greenway Auto LLC,Automatic,Front-Wheel Drive,Diesel,0,0 reviews,"Berryville, VA (71 mi.)","134,414 mi."
2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,"$9,995",Panda Autos,Automatic,Front-Wheel Drive,Diesel,4.4,5 reviews,"Vienna, VA (49 mi.)","109,883 mi."
2013 Volkswagen Passat 2.0 TDI SEL Premium,"$9,862",Panda Autos,Automatic,Front-Wheel Drive,Diesel,4.4,5 reviews,"Vienna, VA (49 mi.)","99,435 mi."
2014 Volkswagen Jetta TDI,"$9,900",Braxton Motor Company,Automatic,Front-Wheel Drive,Diesel,0,7 reviews,"Ephrata, PA (72 mi.)","147,035 mi."
2013 Volkswagen Passat 2.0 TDI SEL Premium,"$12,495",Kyner's Auto Sales Inc.,Automatic,Front-Wheel Drive,Diesel,4.8,710 reviews,"Chambersburg, PA (68 mi.)","79,670 mi."
2014 Volkswagen Passat 2.0L TDI DSG SEL Premium,"$10,990",I-Deal Cars LLC CampHill,Automatic,Front-Wheel Drive,Diesel,4.5,27 reviews,"Camp Hill, PA (70 mi.)","101,529 mi."
2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,"$10,990",I-Deal Cars LLC,Automatic,Front-Wheel Drive,Diesel,4,57 reviews,"Harrisburg, PA (75 mi.)","107,612 mi."
2013 Volkswagen Beetle 2.0L TDI,"$12,050",Easterns Automotive Group of Sterling- Curbside and Home Delivery Available,Automatic,Front-Wheel Drive,Diesel,4.9,"1,155 reviews","Sterling, VA (46 mi.)","94,273 mi."
2012 Volkswagen Jetta SportWagen TDI,"$12,911",Sheehy Volkswagen of Hagerstown,Automatic,Front-Wheel Drive,Diesel,0,2 reviews,"Hagerstown, MD (59 mi.)","85,508 mi."
2015 RAM ProMaster 1500 Low Roof,"$15,981",MemberCar,Automatic,Front-Wheel Drive,Diesel,4.9,612 reviews,"Rockville, MD (27 mi.)","121,244 mi."
2015 RAM ProMaster 2500 High Roof,"$17,995",Amko Auto Temple Hills,Automatic,Front-Wheel Drive,Diesel,3.5,53 reviews,"Temple Hills, MD (33 mi.)","68,864 mi."
2013 Volkswagen Jetta SportWagen TDI,"$8,994",Motorcars of Gaithersburg,Automatic,Front-Wheel Drive,Diesel,0,7 reviews,"Gaithersburg, MD (27 mi.)","117,430 mi."
2015 Volkswagen Jetta 2.0L TDI S,"$7,999",Q's Quality Cars LLC,Automatic,Front-Wheel Drive,Diesel,0,0 reviews,"Capitol Heights, MD (28 mi.)","127,212 mi."
2009 Volkswagen Jetta 2.0 TDI SportWagen,"$6,990",I-Deal Cars LLC,Automatic,Front-Wheel Drive,Diesel,4,57 reviews,"Harrisburg, PA (75 mi.)","196,696 mi."
2014 Volkswagen Jetta SportWagen TDI,"$11,900",Five Plus Autohaus LLC,Automatic,Front-Wheel Drive,Diesel,0,2 reviews,"Emigsville, PA (54 mi.)","77,000 mi."
2011 Volkswagen Jetta 2.0L TDI SEL,Not Priced,Faulkner Volkswagen,Automatic,Front-Wheel Drive,Diesel,4,313 reviews,"Mechanicsburg, PA (72 mi.)",0 mi.
2018 GMC Terrain SLT,"$15,317",Excel Auto Lounge,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Hightstown, NJ (134 mi.)","93,249 mi."
2012 Volkswagen Jetta TDI,"$8,995",Excel Auto Lounge,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Hightstown, NJ (134 mi.)","99,881 mi."
2014 Volkswagen Jetta SportWagen DSG TDI,"$8,495",CarNu Sales,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Warminster, PA (109 mi.)","184,252 mi."
2015 RAM ProMaster 3500 High Roof,"$16,500",N/A,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Ebensburg, PA (142 mi.)","146,100 mi."
2015 RAM ProMaster 3500 High Roof,"$20,970",Econo Auto Inc,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Spotsylvania, VA (89 mi.)","82,701 mi."
2015 Volkswagen Golf DSG TDI S,"$12,495",Highline Motor Cars,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Southampton, NJ (115 mi.)","93,750 mi."
2011 Audi A3 2.0 TDI Premium Plus,"$11,999",Car Trade,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Slatington, PA (120 mi.)","82,987 mi."
2013 Audi A3 2.0 TDI Premium,"$9,994",CarPoint Auto Group,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"South River, NJ (148 mi.)","79,302 mi."
2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,"$9,995",Park Avenue Autos,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Collingswood, NJ (97 mi.)","132,000 mi."
2015 Volkswagen Passat 2.0L TDI DSG SEL Premium,"$10,995",1NCE DRIVEN,Automatic,Front-Wheel Drive,Diesel,N/A,N/A,"Easton, PA (123 mi.)","95,709 mi."
